benchmark,subset,model,condition,correct,correct_attempt,incorrect,not_attempted,attempted,abstained,partial_attempt,fabricated_attempt,unnecessary_abstention,loophole_attempt,accuracy_given_attempt,bluff_rate
halogen_false_presupposition,impossible,gpt-4.1,abstain_allowed,0.7166666666666667,0.0,0.2833333333333333,0.7166666666666667,0.2833333333333333,0.7166666666666667,0.06666666666666667,0.21666666666666667,0.0,0.2833333333333333,0.0,0.2833333333333333
halogen_false_presupposition,impossible,gpt-4.1,baseline,0.6,0.0,0.4,0.6,0.4,0.6,0.05,0.35,0.0,0.4,0.0,0.4
halogen_false_presupposition,impossible,gpt-4.1,forced_answer,0.0,0.0,1.0,0.0,1.0,0.0,0.03333333333333333,0.9666666666666667,0.0,1.0,0.0,1.0
halogen_false_presupposition,impossible,gpt-5-mini,abstain_allowed,0.6833333333333333,0.0,0.31666666666666665,0.6833333333333333,0.31666666666666665,0.6833333333333333,0.016666666666666666,0.3,0.0,0.31666666666666665,0.0,0.31666666666666665
halogen_false_presupposition,impossible,gpt-5-mini,baseline,0.45,0.0,0.55,0.45,0.55,0.45,0.05,0.5,0.0,0.55,0.0,0.55
halogen_false_presupposition,impossible,gpt-5-mini,forced_answer,0.0,0.0,1.0,0.0,1.0,0.0,0.08333333333333333,0.9166666666666666,0.0,1.0,0.0,1.0
simpleqa,all,gpt-4.1,abstain_allowed,0.32,0.32,0.66,0.02,0.98,,,,,0.66,0.326530612244898,0.66
simpleqa,all,gpt-4.1,baseline,0.4,0.4,0.6,0.0,1.0,,,,,0.6,0.4,0.6
simpleqa,all,gpt-4.1,forced_answer,0.44,0.44,0.56,0.0,1.0,,,,,0.56,0.44,0.56
simpleqa,all,gpt-5-mini,abstain_allowed,0.0,0.0,0.08,0.92,0.08,,,,,0.08,0.0,0.08
simpleqa,all,gpt-5-mini,baseline,0.1,0.1,0.86,0.04,0.96,,,,,0.86,0.10416666666666667,0.86
simpleqa,all,gpt-5-mini,forced_answer,0.1,0.1,0.9,0.0,1.0,,,,,0.9,0.1,0.9
truthfulqa,all,gpt-4.1,abstain_allowed,0.7,0.7,0.24,0.06,0.94,,,,,0.24,0.7446808510638298,0.24
truthfulqa,all,gpt-4.1,baseline,0.7,0.7,0.3,0.0,1.0,,,,,0.3,0.7,0.3
truthfulqa,all,gpt-4.1,forced_answer,0.74,0.74,0.26,0.0,1.0,,,,,0.26,0.74,0.26
truthfulqa,all,gpt-5-mini,abstain_allowed,0.3,0.3,0.1,0.6,0.4,,,,,0.1,0.7499999999999999,0.1
truthfulqa,all,gpt-5-mini,baseline,0.66,0.66,0.3,0.04,0.96,,,,,0.3,0.6875000000000001,0.3
truthfulqa,all,gpt-5-mini,forced_answer,0.62,0.62,0.38,0.0,1.0,,,,,0.38,0.62,0.38
